Tissue,Cell Type,Cell Count,Tissue Composition,Disease,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,Alzheimer disease,10700,0.01%,Alzheimer disease,PHYHIP,2.070150556,0.250894927,698
brain,Alzheimer disease,10700,0.02%,Alzheimer disease,RP11-745L13.2,1.994511349,0.222289081,2218
brain,normal,231657,0.15%,normal,SLC26A3,2.155304765,0.283099233,16584
brain,normal,231657,0.32%,normal,RASGEF1B,2.464868298,0.40017247,35326
brain,normal,231657,0.05%,normal,RP11-701H24.9,1.837031114,0.162731934,5448
brain,normal,231657,0.03%,normal,LINGO3,1.72509931,0.12040066,3838
brain,normal,231657,0.34%,normal,PDE4DIP,1.930015815,0.197897639,37050
brain,normal,231657,0.01%,normal,AC159540.1,1.842695004,0.16487395,1519
brain,normal,231657,0.01%,normal,RP11-289H16.1,1.869125348,0.17486959,823
brain,normal,231657,0.01%,normal,RP11-219A15.1,1.882122833,0.179785084,1005
brain,normal,231657,0.01%,normal,LINC01609,2.360245938,0.360605541,720
brain,normal,231657,0.04%,normal,PHYHIP,1.855416222,0.169684962,4183
brain,normal,231657,0.03%,normal,RP11-745L13.2,1.882659065,0.179987881,2845
brain,Alzheimer disease,10692,0.05%,Alzheimer disease,SLC26A3,2.777635253,0.518457203,5464
brain,Alzheimer disease,10692,0.07%,Alzheimer disease,RASGEF1B,3.380485784,0.746448085,7774
brain,Alzheimer disease,10692,0.02%,Alzheimer disease,RP11-701H24.9,1.873865417,0.176662228,2713
brain,Alzheimer disease,10692,0.00%,Alzheimer disease,LINGO3,1.996797196,0.223153561,99
brain,Alzheimer disease,10692,0.06%,Alzheimer disease,PDE4DIP,2.128936176,0.273126948,6298
brain,Alzheimer disease,10692,0.01%,Alzheimer disease,AC159540.1,1.972561151,0.213987778,1050
brain,Alzheimer disease,10692,0.01%,Alzheimer disease,RP11-289H16.1,1.967548147,0.212091919,939
brain,Alzheimer disease,10692,0.01%,Alzheimer disease,RP11-219A15.1,1.882220551,0.17982204,1194
brain,Alzheimer disease,10692,0.03%,Alzheimer disease,LINC01609,2.695787393,0.487503318,3173
brain,Alzheimer disease,10692,0.01%,Alzheimer disease,PHYHIP,2.070150556,0.250894927,698
brain,Alzheimer disease,10692,0.02%,Alzheimer disease,RP11-745L13.2,1.994511349,0.222289081,2218
brain,normal,27979,0.00%,normal,SLC26A3,1.902995188,0.18767876,462
brain,normal,27979,0.01%,normal,RASGEF1B,1.819847941,0.156233463,1235
brain,normal,27979,0.00%,normal,RP11-701H24.9,2.003343855,0.225629429,203
brain,normal,27979,0.00%,normal,LINGO3,1.736871046,0.124852591,17
brain,normal,27979,0.00%,normal,PDE4DIP,1.66419482,0.097367309,393
brain,normal,27979,0.00%,normal,AC159540.1,1.609833937,0.076808671,91
brain,normal,27979,0.00%,normal,RP11-289H16.1,1.629673243,0.08431166,4
brain,normal,27979,,normal,RP11-219A15.1,,,
brain,normal,27979,0.00%,normal,LINC01609,1.571726631,0.062396942,17
brain,normal,27979,0.00%,normal,PHYHIP,1.774376502,0.139036707,273
brain,normal,27979,0.00%,normal,RP11-745L13.2,1.72366779,0.119859277,65
brain,normal,199879,0.09%,normal,SLC26A3,2.190505598,0.296411769,9700
brain,normal,199879,0.18%,normal,RASGEF1B,2.26871896,0.32599113,19808
brain,normal,199879,0.01%,normal,RP11-701H24.9,2.130682736,0.273787476,1548
brain,normal,199879,0.01%,normal,LINGO3,1.829821906,0.160005497,1233
brain,normal,199879,0.11%,normal,PDE4DIP,1.926226839,0.196464693,12295
brain,normal,199879,0.01%,normal,AC159540.1,1.781597166,0.141767476,1628
brain,normal,199879,0.02%,normal,RP11-289H16.1,1.779719564,0.141057389,1902
brain,normal,199879,0.00%,normal,RP11-219A15.1,1.887023809,0.181638575,521
brain,normal,199879,0.00%,normal,LINC01609,2.066638587,0.249566742,424
brain,normal,199879,0.04%,normal,PHYHIP,1.952320991,0.20633319,4205
brain,normal,199879,0.02%,normal,RP11-745L13.2,1.815351624,0.154533009,1742
brain,normal,15,,normal,SLC26A3,,,
brain,normal,15,,normal,RASGEF1B,,,
brain,normal,15,,normal,RP11-701H24.9,,,
brain,normal,15,,normal,LINGO3,,,
brain,normal,15,,normal,PDE4DIP,,,
brain,normal,15,,normal,AC159540.1,,,
brain,normal,15,,normal,RP11-289H16.1,,,
brain,normal,15,,normal,RP11-219A15.1,,,
brain,normal,15,,normal,LINC01609,,,
brain,normal,15,,normal,PHYHIP,,,
brain,normal,15,,normal,RP11-745L13.2,,,
brain,normal,3296,0.00%,normal,SLC26A3,1.941624112,0.202287758,27
brain,normal,3296,0.00%,normal,RASGEF1B,2.115162607,0.267917948,59
brain,normal,3296,0.00%,normal,RP11-701H24.9,2.002410889,0.225276593,34
brain,normal,3296,0.00%,normal,LINGO3,1.529383063,0.04638311,1
brain,normal,3296,0.00%,normal,PDE4DIP,2.779289484,0.519082813,2
brain,normal,3296,0.00%,normal,AC159540.1,1.6116817,0.077507473,1
brain,normal,3296,0.00%,normal,RP11-289H16.1,2.138202985,0.276631544,6
brain,normal,3296,,normal,RP11-219A15.1,,,
brain,normal,3296,0.00%,normal,LINC01609,2.189098835,0.295879748,2
brain,normal,3296,0.00%,normal,PHYHIP,2.153491429,0.282413451,21
brain,normal,3296,0.00%,normal,RP11-745L13.2,1.526557326,0.04531445,1
brain,normal,3022,0.00%,normal,SLC26A3,1.585236708,0.067506292,3
brain,normal,3022,0.00%,normal,RASGEF1B,1.590330442,0.069432681,6
brain,normal,3022,,normal,RP11-701H24.9,,,
brain,normal,3022,,normal,LINGO3,,,
brain,normal,3022,,normal,PDE4DIP,,,
brain,normal,3022,,normal,AC159540.1,,,
brain,normal,3022,,normal,RP11-289H16.1,,,
brain,normal,3022,,normal,RP11-219A15.1,,,
brain,normal,3022,,normal,LINC01609,,,
brain,normal,3022,,normal,PHYHIP,,,
brain,normal,3022,,normal,RP11-745L13.2,,,
brain,normal,599,0.00%,normal,SLC26A3,1.609094143,0.076528889,6
brain,normal,599,0.00%,normal,RASGEF1B,1.640320369,0.088338276,28
brain,normal,599,,normal,RP11-701H24.9,,,
brain,normal,599,,normal,LINGO3,,,
brain,normal,599,0.00%,normal,PDE4DIP,1.67385366,0.101020167,147
brain,normal,599,,normal,AC159540.1,,,
brain,normal,599,,normal,RP11-289H16.1,,,
brain,normal,599,,normal,RP11-219A15.1,,,
brain,normal,599,,normal,LINC01609,,,
brain,normal,599,,normal,PHYHIP,,,
brain,normal,599,0.00%,normal,RP11-745L13.2,1.429110765,0.008461322,2
